s"လယ်ဝေး","Lewe District"
"ပျဥ်းမနား","Pyinmana District"
"ဥတ္တရ","Ottarathiri District"
"ဇေယျာသီရိ","Zeyathiri District"
"ပူတာအို","Putao District"
"ဗန်းမော်","Bhamo District"
"မိုးညှင်း","Mohnyin District"
"မြစ်ကြီးနား","Myitkyina District"
"တနိုင်း","Tanai District"
"ချီဖွေ","Chipwi District"
"လွိုင်ကော်","Loikaw District"
"ဒီးမော့ဆို","Demoso District"
"ဘောလခဲ","Bawlakhe District"
"မယ်စဲ့","Mese District"
"ကော့ကရိတ်","Kawkareik District"
"ကြာအင်းဆိပ်ကြီး","Kyainseikgyi District"
"ဖာပွန်","Hpapun District"
"ဘားအံ","Hpa-an District"
"သံတောင်ကြီး","Thandaunggyi District"
"မြဝတီ","Myawaddy District"
"ဖလမ်း","Falam District"
"တီးတိန်","Tedim District"
"မတူပီ","Matupi District"
"ပလက်ဝ","Paletwa District"
"မင်းတပ်","Mindat District"
"ဟားခါး","Hakha District"
"နာဂ ကိုယ်ပိုင်အုပ်ချုပ်ခွင့်ရဒေသ","Naga Self-Administered Zone"
"ကလေး","Kale District"
"ကသာ","Katha District"
"ကောလင်း","Kawlin District"
"ကန့်ဘလူ","Kanbalu District"
"ခန္တီး","Hkamti District"
"ဟုမ္မလင်း","Homalin District"
"စစ်ကိုင်း","Sagaing District"
"တမူး","Tamu District "
"မုံရွာ","Monywa District"
"မော်လိုက်","Mawlaik District"
"ယင်းမာပြင်","Yinmabin District"
"ရွှေဘို","Shwebo District"
"ရေဦး","Ye-U District"
"ကော့သောင်း","Kawthaung District"
"ဘုတ်ပြင်း","Bokepyin District"
"ထားဝယ်","Dawei District"
"မြိတ်","Myeik District"
"တောင်ငူ","Taungoo District"
"ပဲခူး","Bago District"
"ညောင်လေးပင်","Nyaunglebin District"
"ပြည်","Pyay District"
"သာယာဝတီ","Tharrawaddy District"
"နတ်တလင်း","Nattalin District"
"ဂန့်ဂေါ","Gangaw District"
"ပခုက္ကူ","Pakokku District"
"မကွေး","Magway District"
"ချောက်","Chauk District"
"မင်းဘူး","Minbu District"
"သရက်","Thayet District"
"အောင်လံ","Aunglan District"
"ကျောက်ဆည်","Kyaukse District"
"တံတားဦး","Tada-U District"
"ညောင်ဦး","Nyaung-U District"
"ပြင်ဦးလွင်","Pyinoolwin District"
"သပိတ်ကျင်း","Thabeikkyin District"
"မဟာအောင်မြေ","Maha Aungmye District"
"အောင်မြေသာဇံ","Aungmyethazan District"
"အမရပူရ","Amarapura District"
"မိတ္ထီလာ","Meiktila District"
"မြင်းခြံ","Myingyan District"
"ရမည်းသင်း","Yamethin District"
"မော်လမြိုင်","Mawlamyine District"
"ရေး","Ye District"
"သထုံ","Thaton District"
"ကျိုက်ထို","Kyaikhto District"
"ကျောက်ဖြူ","Kyaukpyu District"
"အမ်း","Ann District"
"စစ်တွေ","Sittwe District"
"မောင်တော","Maungdaw District "
"မြောက်ဦး","Mrauk-U District"
"သံတွဲ","Thandwe District"
"တောင်ကုတ်","Toungup District"
"တိုက်ကြီး","Taikkyi District"
"လှည်းကူး","Hlegu District"
"မှော်ဘီ","Hmawbi District"
"မင်္ဂလာဒုံ","Mingaladon District"
"အင်းစိန်","Insein District"
"သင်္ဃန်းကျွန်း","Thingangyun District"
"ဗိုလ်တထောင်","Botataung District"
"ဒဂုံမြို့သစ်","Dagon Myothit District"
"သန်လျင်","Thanlyin District"
"တွံတေး","Twante District"
"ကျောက်တံတား","Kyauktada District"
"အလုံ","Alon District"
"မရမ်းကုန်း","Mayangone District"
"ကမာရွတ်","Kamayut District"
"မက်မန်း","Makman District"
"ဟိုပန်","Hopan District"
"ဓနု(ကအဒ)","Danu Self-Administered Zone"
"ပအိုင်း(ကအဒ)","Pa-O Self-Administered Zone"
"ပလောင်(ကအဒ)","Pa Laung Self-Administered Zone"
"ကိုးကန့်(ကအဒ)","Kokang Self-Administered Zone"
"ကျောက်မဲ","Kyaukme District"
"ကျိုင်းတုံ","Kengtung District"
"မိုင်းယန်း","Mong Yang District"
"မိုင်းလား","Mong La District"
"တာချီလိတ်","Tachileik District"
"မိုင်းယောင်း","Mong Yawng District"
"တောင်ကြီး","Taunggyi District"
"ကလော","Kalaw District"
"မူဆယ်","Muse District"
"ကွတ်ခိုင်","Kutkai District"
"မိုးမိတ်","Mongmit District"
"မိူင်းဆတ်","Mong Hsat District"
"မိုင်းတုံ","Mong Tong District"
"လားရှိုး","Lashio District"
"တန့်ယန်း","Tangyan District"
"လင်းခေး","Langkho District"
"လွိုင်လင်","Loilen District"
"နမ့်စန်","Nansang District"
"မိုင်းရှူး","Mong Hsu Distirct"
"ပုသိမ်","Pathein District"
"ကျုံပျော်","Kyonpyaw Distirct"
"ဖျာပုံ","Pyapon District"
"မအူပင်","Maubin District"
"မြောင်းမြ","Myaungmya District"
"လပွတ္တာ","Labutta District"
"ဟင်္သာတ","Hinthada District"
"မြန်အောင်","Myanaung District"
