စဥ်,ပြည်နယ်/တိုင်း ဒေသကြီး,ခရိုင်,မြိူ့နယ်,မြိူ့နယ်ခွဲ,
,နေပြည်တော်,လယ်ဝေး,လယ်ဝေး,,
,နေပြည်တော်,လယ်ဝေး,ဒက္ခိဏသီရိ,,
,နေပြည်တော်,ပျဥ်းမနား,ပျဥ်းမနား,,
,နေပြည်တော်,ပျဥ်းမနား,ဇမ္မူသီရိ,,
,နေပြည်တော်,ဥတ္တရ,ဥတ္တရသီရိ,,
,နေပြည်တော်,ဥတ္တရ,တပ်ကုန်း,,
,နေပြည်တော်,ဇေယျာသီရိ,ဇေယျာသီရိ,,
,နေပြည်တော်,ဇေယျာသီရိ,ပုဗ္ဗသီရိ,,
,ကချင်ပြည်နယ်,ပူတာအို,ပူတာအို,,
,ကချင်ပြည်နယ်,ပူတာအို,နောင်မွန်း,,
,ကချင်ပြည်နယ်,ပူတာအို,မချမ်းဘော,,
,ကချင်ပြည်နယ်,ပူတာအို,ခေါင်လန်ဖူး,,
,ကချင်ပြည်နယ်,ပူတာအို,ဆွမ်ပရာဘွမ်,,
,ကချင်ပြည်နယ်,ဗန်းမော်,ဗန်းမော်,,
,ကချင်ပြည်နယ်,ဗန်းမော်,မိုးမောက်,,
,ကချင်ပြည်နယ်,ဗန်းမော်,မံစီ,,
,ကချင်ပြည်နယ်,ဗန်းမော်,ရွှေကူ,,
,ကချင်ပြည်နယ်,မိုးညှင်း,မိုးညှင်း,,
,ကချင်ပြည်နယ်,မိုးညှင်း,မိုးကောင်း,,
,ကချင်ပြည်နယ်,မိုးညှင်း,ဖားကန့်,,
,ကချင်ပြည်နယ်,မြစ်ကြီးနား,မြစ်ကြီးနား,,
,ကချင်ပြည်နယ်,မြစ်ကြီးနား,ဝိုင်းမော်,,
,ကချင်ပြည်နယ်,မြစ်ကြီးနား,အင်ဂျန်းယန်,,
,ကချင်ပြည်နယ်,တနိုင်း,တနိုင်း,,
,ကချင်ပြည်နယ်,ချီဖွေ,ချီဖွေ,,
,ကချင်ပြည်နယ်,ချီဖွေ,ဆော့လော်,,
,ကယားပြည်နယ်,လွိုင်ကော်,လွိုင်ကော်,,
,ကယားပြည်နယ်,လွိုင်ကော်,ရှားတော,,
,ကယားပြည်နယ်,ဒီးမော့ဆို,ဒီးမော့ဆို,,
,ကယားပြည်နယ်,ဒီးမော့ဆို,ဖရူဆို,,
,ကယားပြည်နယ်,ဘောလခဲ,ဘောလခဲ,,
,ကယားပြည်နယ်,ဘောလခဲ,ဖားဆောင်း,,
,ကယားပြည်နယ်,မယ်စဲ့,မယ်စဲ့,,
,ကရင်ပြည်နယ်,ကော့ကရိတ်,ကော့ကရိတ်,,
,ကရင်ပြည်နယ်,ကြာအင်းဆိပ်ကြီး,ကြာအင်းဆိပ်ကြီး,,
,ကရင်ပြည်နယ်,ဖာပွန်,ဖာပွန်,,
,ကရင်ပြည်နယ်,ဘားအံ,ဘားအံ,,
,ကရင်ပြည်နယ်,ဘားအံ,လှိုင်းဘွဲ့,,
,ကရင်ပြည်နယ်,သံတောင်ကြီး,သံတောင်ကြီး,,
,ကရင်ပြည်နယ်,မြဝတီ,မြဝတီ,,
,ချင်းပြည်နယ်,ဖလမ်း,ဖလမ်း,,
,ချင်းပြည်နယ်,တီးတိန်,တီးတိန်,,
,ချင်းပြည်နယ်,တီးတိန်,တွန်းဇံ,,
,ချင်းပြည်နယ်,မတူပီ,မတူပီ,,
,ချင်းပြည်နယ်,ပလက်ဝ,ပလက်ဝ,,
,ချင်းပြည်နယ်,မင်းတပ်,ကန်ပက်လက်,,
,ချင်းပြည်နယ်,မင်းတပ်,မင်းတပ်,,
,ချင်းပြည်နယ်,ဟားခါး,ထန်တလန်,,
,ချင်းပြည်နယ်,ဟားခါး,ဟားခါး,,
,စစ်ကိုင်းတိုင်း,နာဂ ကိုယ်ပိုင်အုပ်ချုပ်ခွင့်ရဒေသ,လေရှီး,ကိုယ်ပိုင်အုပ်ချုပ်ခွင့်ရဒေသ ခရိုင် ၁ ခု
,စစ်ကိုင်းတိုင်း,နာဂ ကိုယ်ပိုင်အုပ်ချုပ်ခွင့်ရဒေသ,လဟယ်,,
,စစ်ကိုင်းတိုင်း,နာဂ ကိုယ်ပိုင်အုပ်ချုပ်ခွင့်ရဒေသ,နန်းယွန်း,,
,စစ်ကိုင်းတိုင်း,ကလေး,ကလေး,,
,စစ်ကိုင်းတိုင်း,ကလေး,ကလေးဝ,,
,စစ်ကိုင်းတိုင်း,ကလေး,မင်းကင်း,,
,စစ်ကိုင်းတိုင်း,ကသာ,ကသာ,,
,စစ်ကိုင်းတိုင်း,ကသာ,ထီးချိုင့်,,
,စစ်ကိုင်းတိုင်း,ကသာ,ဗန်းမောက်,,
,စစ်ကိုင်းတိုင်း,ကသာ,အင်းတော်,,
,စစ်ကိုင်းတိုင်း,ကောလင်း,ကောလင်း,,
,စစ်ကိုင်းတိုင်း,ကောလင်း,ပင်လည်ဘူး,,
,စစ်ကိုင်းတိုင်း,ကောလင်း,ဝန်းသို,,
,စစ်ကိုင်းတိုင်း,ကန့်ဘလူ,ကန့်ဘလူ,,
,စစ်ကိုင်းတိုင်း,ကန့်ဘလူ,ကျွန်းလှ,,
,စစ်ကိုင်းတိုင်း,ခန္တီး,ခန္တီး,,
,စစ်ကိုင်းတိုင်း,ဟုမ္မလင်း,ဟုမ္မလင်း,,
,စစ်ကိုင်းတိုင်း,စစ်ကိုင်း,စစ်ကိုင်း,,
,စစ်ကိုင်းတိုင်း,စစ်ကိုင်း,မြင်းမု,,
,စစ်ကိုင်းတိုင်း,စစ်ကိုင်း,မြောင်,,
,စစ်ကိုင်းတိုင်း,တမူး,တမူး,,
,စစ်ကိုင်းတိုင်း,မုံရွာ,ချောင်းဦး,,
,စစ်ကိုင်းတိုင်း,မုံရွာ,ဘုတလင်,,
,စစ်ကိုင်းတိုင်း,မုံရွာ,မုံရွာ,,
,စစ်ကိုင်းတိုင်း,မုံရွာ,အရာတော်,,
,စစ်ကိုင်းတိုင်း,မော်လိုက်,ဖောင်းပြင်,,
,စစ်ကိုင်းတိုင်း,မော်လိုက်,မော်လိုက်,,
,စစ်ကိုင်းတိုင်း,ယင်းမာပြင်,ကနီ,,
,စစ်ကိုင်းတိုင်း,ယင်းမာပြင်,ဆားလင်းကြီဂ,,
,စစ်ကိုင်းတိုင်း,ယင်းမာပြင်,ပုလဲ,,
,စစ်ကိုင်းတိုင်း,ယင်းမာပြင်,ယင်းမာပင်,,
,စစ်ကိုင်းတိုင်း,ရွှေဘို,ရွှေဘို,,
,စစ်ကိုင်းတိုင်း,ရွှေဘို,ခင်ဦး,,
,စစ်ကိုင်းတိုင်း,ရွှေဘို,ဝက်လက်,,
,စစ်ကိုင်းတိုင်း,ရေဦး,ရေဦး,,
,စစ်ကိုင်းတိုင်း,ရေဦး,တန့်ဆည်,,
,စစ်ကိုင်းတိုင်း,ရေဦး,ဒီပဲယင်း,,
,တနင်္သာရီတိုင်း,ကော့သောင်း,ကော့သောင်း,,
,တနင်္သာရီတိုင်း,ဘုတ်ပြင်း,ဘုတ်ပြင်း,,
,တနင်္သာရီတိုင်း,ထားဝယ်,ထားဝယ်,,
,တနင်္သာရီတိုင်း,ထားဝယ်,ရေဖြူ,,
,တနင်္သာရီတိုင်း,ထားဝယ်,လောင်းလုံ,,
,တနင်္သာရီတိုင်း,ထားဝယ်,သရက်ချောင်း,,
,တနင်္သာရီတိုင်း,မြိတ်,ကျွန်းစု,,
,တနင်္သာရီတိုင်း,မြိတ်,တနင်္သာရီ,,
,တနင်္သာရီတိုင်း,မြိတ်,ပုလော,,
,တနင်္သာရီတိုင်း,မြိတ်,မြိတ်,,
,ပဲခူးတိုင်း,တောင်ငူ,တောင်ငူ,,
,ပဲခူးတိုင်း,တောင်ငူ,အုတ်တွင်း,,
,ပဲခူးတိုင်း,တောင်ငူ,ရေတာရှည်,,
,ပဲခူးတိုင်း,တောင်ငူ,ဖြူး,,
,ပဲခူးတိုင်း,တောင်ငူ,ထန်းတပင်,,
,ပဲခူးတိုင်း,ပဲခူး,ပဲခူး,,
,ပဲခူးတိုင်း,ပဲခူး,ကဝ,,
,ပဲခူးတိုင်း,ပဲခူး,ဝေါ,,
,ပဲခူးတိုင်း,ပဲခူး,သနပ်ပင်,,
,ပဲခူးတိုင်း,ညောင်လေးပင်,ညောင်လေးပင်,,
,ပဲခူးတိုင်း,ညောင်လေးပင်,ကျောက်တံခါး,,
,ပဲခူးတိုင်း,ညောင်လေးပင်,ဒိုက်ဦး,,
,ပဲခူးတိုင်း,ညောင်လေးပင်,ရွှေကျင်,,
