"လယ်ဝေး","Lewe"
"ဒက္ခိဏသီရိ","Dekkinathiri"
"ပျဥ်းမနား","Pyinmana"
"ဇမ္မူသီရိ","Zabuthiri"
"ဥတ္တရသီရိ","Ottarathiri"
"တပ်ကုန်း","Tatkone"
"ဇေယျာသီရိ","Zeyarthiri "
"ပုဗ္ဗသီရိ","Pobbathiri"
"ပူတာအို","Putao"
"နောင်မွန်း","Nogmung "
"မချမ်းဘော","Machanbaw"
"ခေါင်လန်ဖူး","Kawnglanghpu"
"ဆွမ်ပရာဘွမ်","Sumprabum"
"ဗန်းမော်","Bhamo"
"မိုးမောက်","Momauk"
"မံစီ","Mansi"
"ရွှေကူ","Shwegu"
"မိုးညှင်း","Mohnyin"
"မိုးကောင်း","Mogaung"
"ဖားကန့်","Hpakant"
"မြစ်ကြီးနား","Myitkyina"
"ဝိုင်းမော်","Waingmaw"
"အင်ဂျန်းယန်","Injangyang"
"တနိုင်း","Tanai"
"ချီဖွေ","Chipwi"
"ဆော့လော်","Hsawlaw"
"လွိုင်ကော်","Loikaw"
"ရှားတော","Shadaw"
"ဒီးမော့ဆို","Demoso"
"ဖရူဆို","Hpruso"
"ဘောလခဲ","Bawlakhe"
"ဖားဆောင်း","Hpasawng"
"မယ်စဲ့","Mese"
"ကော့ကရိတ်","Kawkareik"
"ကြာအင်းဆိပ်ကြီး","Kyainseikgyi"
"ဖာပွန်","Hpapun"
"ဘားအံ","Hpa-an"
"လှိုင်းဘွဲ့","Hlaingbwe"
"သံတောင်ကြီး","Thandaunggyi"
"မြဝတီ","Myawaddy"
"ဖလမ်း","Falam"
"တီးတိန်","Tedim"
"တွန်းဇံ","Tonzang"
"မတူပီ","Matupi"
"ပလက်ဝ","Paletwa"
"ကန်ပက်လက်","Kanpetlet"
"မင်းတပ်","Mindat"
"ထန်တလန်","Thangtlang"
"ဟားခါး","Hakha"
"လေရှီး","Leshi "
"လဟယ်","Lahe"
"နန်းယွန်း","Nanyun"
"ကလေး","Kale"
"ကလေးဝ","Kalewa"
"မင်းကင်း","Mingin"
"ကသာ","Katha"
"ထီးချိုင့်","Htigyaing"
"ဗန်းမောက်","Banmauk "
"အင်းတော်","Indaw"
"ကောလင်း","Kawlin"
"ပင်လည်ဘူး","Pinlebu"
"ဝန်းသို","Wuntho"
"ကန့်ဘလူ","Kanbalu"
"ကျွန်းလှ","Kyunhla"
"ခန္တီး","Hkamti"
"ဟုမ္မလင်း","Homalin"
"စစ်ကိုင်း","Sagaing"
"မြင်းမု","Myinmu"
"မြောင်","Myaung"
"တမူး","Tamu"
"ချောင်းဦး","Chaung-U"
"ဘုတလင်","Budalin"
"မုံရွာ","Monywa"
"အရာတော်","Ayadaw"
"ဖောင်းပြင်","Phaungbyin"
"မော်လိုက်","Mawlaik"
"ကနီ","Kani"
"ဆားလင်းကြီး","Salingyi"
"ပုလဲ","Pale"
"ယင်းမာပင်","Yinmabin"
"ရွှေဘို","Shwebo"
"ခင်ဦး","Khin-U"
"ဝက်လက်","Wetlet"
"ရေဦး","Ye-U"
"တန့်ဆည်","Taze"
"ဒီပဲယင်း","Tabayin"
"ကော့သောင်း","Kawthaung"
"ဘုတ်ပြင်း","Bokepyin"
"ထားဝယ်","Dawei"
"ရေဖြူ","Yebyu"
"လောင်းလုံ","Launglon"
"သရက်ချောင်း","Thayetchaung"
"ကျွန်းစု","Kyunsu"
"တနင်္သာရီ","Tanintharyi"
"ပုလော","Palaw"
"မြိတ်","Myeik"
"တောင်ငူ","Taungoo"
"အုတ်တွင်း","Oktwin"
"ရေတာရှည်","Yedashe"
"ဖြူး","Pyu"
"ထန်းတပင်","Tantabin"
"ပဲခူး","Bago"
"ကဝ","Kawa"
"ဝေါ","Waw"
"သနပ်ပင်","Thanatpin"
"ညောင်လေးပင်","Nyaunglebin"
